TimeUS,terrain_cm,sub_cm,rf_cm,signal_quality
93999566,-1900.0,-1039.1398183345793,857,100
94095409,-1900.0,-1038.5168398857115,858,100
94204244,-1900.0,-1037.5969244480132,865,100
94308558,-1900.0,-1036.6996941566467,865,100
94398836,-1900.0,-1035.8420506210327,867,100
94598956,-1900.0,-1033.834625259476,868,100
94695662,-1900.0,-1032.8141156258891,866,100
94798733,-1900.0,-1031.5791946411134,865,100
94894593,-1900.0,-1030.4288745880128,880,100
94998416,-1900.0,-1028.929465007782,879,100
95198480,-1900.0,-1025.8763107299806,870,100
95293722,-1900.0,-1024.352438354492,875,100
95399317,-1900.0,-1022.662921142578,882,100
95599338,-1900.0,-1019.5649156188965,879,100
95695709,-1900.0,-1018.1193551635744,886,100
95800265,-1900.0,-1016.6614696293922,887,100
95999330,-1900.0,-1013.9320399284362,882,100
96096361,-1900.0,-1012.6221134185789,891,100
96190883,-1900.0,-1011.438962316513,885,100
96202566,-1902.0,-1011.2929225921631,885,100
96399527,-1904.0,-1009.0339590053558,901,100
96599759,-1905.9999999999998,-1006.9772918931203,895,100
96696816,-1907.9999999999998,-1006.001841214434,893,100
96794234,-1910.0000000000002,-1005.2221229553222,902,100
96798424,-1912.0,-1005.1886016845705,903,100
96999489,-1914.0,-1003.6825763702392,904,100
97097649,-1916.0,-1002.9974025726318,911,100
97198429,-1918.0,-1002.5942836761475,921,100
97294014,-1920.0,-1002.2119422912598,922,100
97398326,-1922.0,-1002.0480108737946,916,100
97493546,-1923.9999999999998,-1001.9051800251008,921,100
97599321,-1926.0000000000002,-1002.0023217926026,922,100
97799497,-1928.0,-1002.507951225926,922,100
97894688,-1930.0,-1002.8868189873388,928,100
97988192,-1932.0,-1003.4862494468689,924,100
97999368,-1934.0,-1003.5588984966278,943,100
98199467,-1936.0,-1005.3161447525024,934,100
98294769,-1938.0,-1006.3644679069519,927,100
98399995,-1939.9999999999998,-1007.827937889099,936,100
98495941,-1942.0000000000002,-1009.1711795806883,925,100
98600823,-1944.0000000000002,-1010.8451801147462,929,100
98699893,-1946.0,-1012.4380669215217,931,100
98798373,-1948.0,-1014.4175535882536,940,100
98998506,-1950.0,-1018.6331392288206,939,100
99093859,-1952.0,-1020.7309185028075,930,100
99188089,-1954.0,-1022.9405951023102,938,100
99198411,-1955.9999999999998,-1023.1831799983979,930,100
99398471,-1957.9999999999998,-1028.1890079021457,932,100
99493628,-1960.0000000000002,-1030.7106470108033,931,100
